Episode Number,Run time,Episode Name,Season,Year,Ratings count,Rating,Summary
1,52 minutes,Secrets (Geheimnisse),1,2017,14739,8.2,"The small German town of Winden is shaken by the disappearance of a teenage boy. While the townsfolk are occupied with secrets of their own, at nightfall a group of teenagers attempts to recover something the missing boy may have left behind."
2,44 minutes,Lies (Lügen),1,2017,13041,8.1,"When a grim discovery leaves the police baffled, Ulrich seeks a search warrant for the power plant. A mysterious stranger checks into the hotel."
3,47 minutes,Past and Present (Gestern und Heute),1,2017,12650,8.5,"It's 1986, and Ulrich's brother, Mads, has been missing for a month. Confusion reigns as past and present intertwine."
4,47 minutes,Double Lives (Doppelleben),1,2017,11962,8.2,"Bizarre occurrences give Charlotte a sense of dÃ©jÃ  vu, and she suspects Peter is hiding something. Franziska snaps when Magnus confronts her."
5,46 minutes,Truths (Wahrheiten),1,2017,12588,8.5,Hannah takes her obsession with Ulrich too far. The stranger asks Regina to deliver an important package. Martha is torn between Jonas and Bartosz.
6,47 minutes,Sic Mundus Creatus Est,1,2017,12365,9,"Ulrich looks to the past for answers and dredges up disturbing family secrets. Armed with new tools, Jonas probes the cave's murky depths."
7,50 minutes,Crossroads (Kreuzwege),1,2017,11478,8.6,"Ulrich questions a frail and frightened Helge in the nursing home. Jonas searches for Mikkel, but the stranger warns him about meddling with the past."
8,46 minutes,"As You Sow, so You Shall Reap (Was man sät, das wird man ernten)",1,2017,12218,9.1,"In 1953, the disfigured bodies of two boys are exhumed at a construction site, the future location of Winden's nuclear power plant."
9,50 minutes,Everything Is Now (Alles ist jetzt),1,2017,11323,8.6,"Ulrich runs afoul of the law, Helge tries to dodge Egon Tiedemann, Claudia harnesses the cave's powers, and Katharina lashes out at Hannah."
10,60 minutes,Alpha und Omega,1,2017,12804,9.1,"Peter gets a shock. Jonas learns the truth about his family, but there are more surprises still to come. Helge makes a sacrifice."
1,53 minutes,Beginnings and Endings,2,2019,12749,8.7,"Six months after the disappearances, the police form a task force. In 2052, Jonas learns that most of Winden perished in an apocalyptic event."
2,47 minutes,Dark Matter,2,2019,11881,8.9,"Clausen and Charlotte interview Regina. The Stranger takes Hannah to 1987, where Claudia has an unnerving encounter and Egon visits an old nemesis."
3,58 minutes,Ghosts,2,2019,11805,9,"In 1954, a missing Helge returns, but he'll only speak to Noah. In 1987, Claudia brings the time machine to Tannhaus, and Egon questions Ulrich again."
4,47 minutes,The Travelers,2,2019,12893,9.4,"Jonas meets an ominous figure. While the kids comb the cave for answers, the adults gather in the bunker to share what they know about the travelers."
5,51 minutes,Lost and Found,2,2019,11819,9.2,"In 1987, Ulrich seizes an opportunity. The kids return to the cave with the time machine, and Jonas learns of a loophole that could change the future."
6,47 minutes,An Endless Cycle,2,2019,14631,9.5,"Armed with a plan to prevent the apocalypse, Jonas travels to 2019. During the Nielsens' anniversary party, Ulrich sneaks off with Hannah."
7,53 minutes,The White Devil,2,2019,11722,9.1,Martha meets the Stranger and learns his true identity. Claudia tries to prevent Egon's death in 1987. Hannah travels to 1954 to see Ulrich.
8,71 minutes,Endings and Beginnings,2,2019,14540,9.4,"On the day of the apocalypse, Clausen executes a search warrant at the power plant as Jonas and Claudia use the time machine to connect past and future."
1,60 minutes,Deja-vu,3,2020,13798,8.8,"In 2019, Jonas emerges from the cave into a different but not unfamiliar world: The town of Winden reeling from the recent disappearance of a young boy."
2,58 minutes,Die Überlebenden,3,2020,12561,8.6,Martha travels to 1888 to warn her friends about the 2020 disaster. Winden residents past and present search for their missing loved ones.
3,59 minutes,Adam und Eva,3,2020,12310,8.6,"Charlotte and Ulrich try to piece together what happened in the bunker. In different times and worlds, Jonas and Martha work to gain each other's trust."
4,57 minutes,Der Ursprung,3,2020,12495,8.9,"Jonas and Martha travel to the year 2052 and get a glimpse of a grim future. In 1954, two residents of Winden go missing, and Hannah receives surprising news."
5,53 minutes,Leben und Tod,3,2020,13628,9.2,"In 2020, a visitor delivers a warning to Claudia. The day before the apocalypse, Jonas begins to question Eve's motives."
6,54 minutes,Licht und Schatten,3,2020,13128,9,"Adam holds Martha captive in 2020. On the day of the apocalypse, an increasingly frantic Martha begs Bartosz for his help."
7,57 minutes,Zwischen der Zeit,3,2020,17241,9.4,"Across three centuries, residents of Winden continue their desperate quest to alter their fates and save their loved ones."
8,1hour 1 minute,Das Paradies,3,2020,23326,9.6,Claudia reveals to Adam how everything is connected and how he can destroy the knot.
