Potrayed By,Picture,Characters,Other Movies ,Date of Birth,Family Tree,Description
Louis Hofmann,https://i.pinimg.com/originals/09/e1/ef/09e1ef9c7708d77d0ec02e0256826298.jpg,Jonas Kahnwald,"Land of Mine (2015),
Red Sparrow (2018),
The White Crow (2018)",3-Jun-97,https://upload.wikimedia.org/wikipedia/commons/e/e1/Kahnwald_family_tree.jpg,"The protagonist of the series, Jonas is a teenager who lives in Winden and is struggling to come to terms with the suicide of his father. He becomes embroiled in a time-traveling conspiracy that spans generations and alters the course of his life."
Andreas Pietschmann,https://www.ujackets.com/wp-content/uploads/2020/06/Dark-The-Stranger-Puffer-Jacket.jpg,The Stranger,"The Crown (2019)
Berlin Station (2017-2019)
The Dark Valley (2014",22-Mar-69,https://images.saymedia-content.com/.image/t_share/MTc2MjQ5NTMzMTYzMDU0OTgz/dark-season-1-character-map.jpg,"A mysterious man who arrives in Winden, the Stranger is initially an enigma but is later revealed to be a time traveler from the future who is searching for a way to prevent a catastrophic event."
Dietrich Hollinderbäumer,https://www.jacketscreator.com/wp-content/uploads/2020/07/dietrich-hollinderbaumer-dark-adam-coat.jpg,Adam,"Before the Fall (2004)
The Physician (2013)
Babylon Berlin (2017-2020)",16-Aug-42,https://i.pinimg.com/originals/34/70/e9/3470e948e8b1f21f07f50da637638d42.jpg,"The leader of Sic Mundus, a secret society of time travelers, Adam is an older version of Jonas who is obsessed with the idea of creating a new world order through time travel."
Ludger Bökelmann,https://64.media.tumblr.com/c4e940cb9be184558b96253cf5e4ff1e/tumblr_p16ua8O0YL1wkxnj3o4_400.png,Ulrich Nielsen ,"Der Alte (TV Series, 1995-2017)
Ein Fall für zwei (TV Series, 1995-2013)
Tatort (TV Series, 2014-2017)",12-Aug-01,https://qph.cf2.quoracdn.net/main-qimg-db9bccc87d3aab1e058a7a5fea34fb56-lq,"A police officer in Winden and the father of three children, Ulrich is haunted by the disappearance of his younger brother Mads and becomes embroiled in the time-traveling conspiracy when his son Mikkel disappears."
Jördis Triebel,https://static.wikia.nocookie.net/dark-netflix/images/5/56/Alternate_Katharina_Nielsen.jpg/revision/latest?cb=20201215092912,Katharina Nielsen,"Emmas Glück (2006)
West (2013)
Berlin Station (2017-2018)",30-Oct-77,https://qph.cf2.quoracdn.net/main-qimg-db9bccc87d3aab1e058a7a5fea34fb56-lq,"Ulrich's wife and the principal of the local high school, Katharina is a strong-willed and independent woman who becomes involved in the conspiracy when her son Mikkel disappears."
Maja Schöne,https://dab57h0r8ahff.cloudfront.net/227121/uploads/6ceaeca0-b2b9-11e9-aa3d-49d673dc4122_800_420.jpeg,Hannah Kahnwald,"Zeit der Helden (2013)
In the Face of Crime (2010-2011)
Babylon Berlin (2017-2020)",1-Jan-76,https://qph.cf2.quoracdn.net/main-qimg-e0276c0a4418a179069ea3377e0db563-lq,"Jonas's mother, Hannah is a complicated and manipulative character who becomes involved with several of the male characters in the series and has a pivotal role in the time-traveling conspiracy."
Karoline Eichhorn,https://m.media-amazon.com/images/M/MV5BNGUwYjAxNzQtNTgwOC00NjczLTljM2QtZmIwNGM3ZGExODVkXkEyXkFqcGdeQXVyODExNTExMTM@._V1_.jpg,Charlotte Doppler,"A Map of the Heart (2002)
The Silence (2010)
Berlin Station (2016-2018)",9-Nov-65,https://images.saymedia-content.com/.image/t_share/MTc2MjQ5NTMzMTYzMDU0OTgz/dark-season-1-character-map.jpg,"A police officer in Winden and the daughter of one of the town's founders, Charlotte becomes involved in the conspiracy when she discovers that her father was also a time traveler."
"	Lisa Vicari",https://culturedvultures.com/wp-content/uploads/2020/07/dark-s3-hed.jpg,Martha Nielsen,"Luna (2017)
Isi & Ossi (2020)
Hell (2011)",11-Feb-97,https://qph.cf2.quoracdn.net/main-qimg-db9bccc87d3aab1e058a7a5fea34fb56-lq,"The daughter of Ulrich and Katharina, Martha is initially portrayed as a typical teenager but becomes increasingly important as the series progresses and her role in the conspiracy is revealed."
Gina Alice,https://mx.web.img3.acsta.net/c_310_420/pictures/20/06/18/23/54/5673711.png,Franziska Doppler,"3 Zimmer/Küche/Bad (2012)
Ostwind (2013)
Bibi & Tina: Voll verhext! (2014)",22-Aug-94,https://images.saymedia-content.com/.image/t_share/MTc2MjQ5NTMzMTYzMDU0OTgz/dark-season-1-character-map.jpg,"The daughter of Charlotte and Peter Doppler, Franziska is a teenager who is involved in a relationship with Magnus Nielsen."
Hermann Beyer,https://artworks.thetvdb.com/banners/person/597509/5f0094446beb5.jpg,Helge Doppler,"Der Spion des Kaisers (2008)
Der Vorleser (2008)
Wer wenn nicht wir (2011)",30-May-43,https://images.saymedia-content.com/.image/t_share/MTc2MjQ5NTMzMTYzMDU0OTgz/dark-season-1-character-map.jpg,"The father of Peter Doppler and a key figure in the time-traveling conspiracy, Helge is initially portrayed as a disturbed and possibly dangerous man."
